Hidden State,Observed State,Current Lane,Timestamp
Vehicle,Change Lane Left,Middle,17:05:17
Vehicle,Change Lane Left,Left,17:05:21
Vehicle,Change Lane Right,Right,17:06:56
Vehicle,Change Lane Left,Left,17:07:26
Vehicle,Change Lane Right,Right,17:07:38
Vehicle,Change Lane Right,Right,17:08:07
Vehicle,Change Lane Left,Left,17:08:13
Vehicle,Change Lane Right,Right,17:08:30
Vehicle,Change Lane Left,Middle,17:08:56
Vehicle,Change Lane Left,Left,17:09:26
Vehicle,Change Lane Right,Right,17:09:44
Vehicle,Change Lane Left,Middle,17:10:12
Vehicle,Change Lane Right,Right,17:10:56
Vehicle,Change Lane Left,Left,17:13:24
Vehicle,Change Lane Left,Left,17:13:34
Vehicle,Change Lane Right,Right,17:14:28
Vehicle,Change Lane Left,Left,17:14:37
Vehicle,Change Lane Right,Right,17:15:30
Vehicle,Change Lane Left,Left,17:17:08
Vehicle,Change Lane Right,Middle,17:17:53
Vehicle,Change Lane Left,Left,17:18:17
Vehicle,Change Lane Left,Middle,17:19:12
Vehicle,Change Lane Left,Left,17:20:12
Vehicle,Change Lane Right,Middle,17:28:35
Vehicle,Change Lane Left,Left,17:28:52
Vehicle,Change Lane Right,Middle,17:30:05
Vehicle,Change Lane Left,Left,17:30:18
Vehicle,Change Lane Right,Middle,17:32:29
Vehicle,Change Lane Left,Left,17:32:42
Vehicle,Change Lane Right,Middle,17:33:10
Vehicle,Change Lane Left,Left,17:34:48
Vehicle,Change Lane Right,Middle,17:36:50
Vehicle,Change Lane Left,Left,17:37:06
Vehicle,Change Lane Right,Middle,17:38:20
Vehicle,Change Lane Right,Right,17:38:30
Vehicle,Change Lane Left,Middle,17:41:59
Vehicle,Change Lane Left,Left,17:42:12
Vehicle,Change Lane Right,Right,17:42:31
Vehicle,Change Lane Left,Middle,17:43:12
Vehicle,Change Lane Left,Left,17:44:05
Vehicle,Change Lane Right,Middle,17:44:10
Vehicle,Change Lane Left,Left,17:44:20
Vehicle,Change Lane Left,Middle,17:46:25
Vehicle,Change Lane Left,Left,17:47:06
Vehicle,Change Lane Left,Left,17:48:00
Vehicle,Change Lane Right,Middle,17:53:42
Vehicle,Change Lane Right,Right,17:53:58
Vehicle,Change Lane Left,Middle,17:54:57
Vehicle,Change Lane Left,Left,17:55:37
Vehicle,Change Lane Right,Middle,17:55:50
Vehicle,Change Lane Right,Right,17:57:01
Vehicle,Change Lane Left,Middle,17:57:27
Vehicle,Change Lane Right,Right,17:57:48
Vehicle,Change Lane Left,Left,17:58:21
Vehicle,Change Lane Left,Left,17:59:04
Vehicle,Change Lane Right,Right,17:59:39
Vehicle,Change Lane Left,Left,18:00:30
Vehicle,Change Lane Right,Middle,18:01:56
Vehicle,Change Lane Left,Left,18:02:05
Vehicle,Change Lane Right,Middle,18:02:45
Vehicle,Change Lane Right,Right,18:03:11
Vehicle,Change Lane Right,Right,18:03:17
Vehicle,Change Lane Left,Left,18:04:47
Vehicle,Change Lane Right,Right,18:05:01
Passenger,Stop,Right,18:05:23
