Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,Stop,Right
Passenger,P,Load,Right
Vehicle,V,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,Stop,Right
Vehicle,V,Go,Right
Vehicle,V,Stop,Right
Vehicle,V,ChangeLaneLeft,Left
Vehicle,V,ChangeLaneRight,Middle
Passenger,P,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,Stop,Right
Vehicle,V,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,ChangeLaneLeft,Left
Vehicle,V,ChangeLaneRight,Right
Passenger,P,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Passenger,P,Stop,Right
Passenger,P,Go,Right
Vehicle,V,ChangeLaneLeft,Left
Vehicle,V,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,ChangeLaneLeft,Left
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneLeft,Left
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Stoplight,S,Stop,Right
Stoplight,S,Go,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Stoplight,S,Stop,Right
Stoplight,S,Go,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
Vehicle,V,ChangeLaneLeft,Middle
Stoplight,S,Stop,Middle
Stoplight,S,Go,Middle
Passenger,P,ChangeLaneRight,Right
Passenger,P,Stop,Right
Passenger,P,Load,Right
Passenger,P,Go,Right
Vehicle,V,ChangeLaneLeft,Middle
Vehicle,V,ChangeLaneRight,Right
