Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Passenger,Unload,Right,20:27:56,1
Passenger,Go,Right,20:28:05,1
Vehicle,Change Lane Left,Middle,20:28:12,1
Vehicle,Change Lane Left,Middle,20:28:17,1
Stoplight,Stop,Middle,20:28:38,1
Stoplight,Go,Middle,05:29:25,1
Vehicle,Change Lane Right,Middle,20:29:51,1
Passenger,Stop,Right,20:30:04,1
Passenger,Unload,Right,20:30:04,1
Passenger,Go,Right,20:30:13,1
Vehicle,Change Lane Left,Middle,20:30:43,1
Vehicle,Change Lane Left,Left,20:31:00,1
Vehicle,Go,Left,17:03:38,7
Vehicle,Change Lane Right,Middle,17:04:41,7
Vehicle,Change Lane Right,Right,17:04:52,7
Vehicle,Change Lane Left,Middle,17:05:17,7
Vehicle,Change Lane Left,Left,17:05:21,7
Vehicle,Change Lane Right,Right,17:06:56,7
Vehicle,Change Lane Left,Left,17:07:26,7
Vehicle,Change Lane Right,Right,17:07:38,7
Vehicle,Change Lane Right,Right,17:08:07,7
Vehicle,Change Lane Left,Left,17:08:13,7
Vehicle,Change Lane Right,Right,17:08:30,7
Vehicle,Change Lane Left,Middle,17:08:56,7
Vehicle,Change Lane Left,Left,17:09:26,7
Vehicle,Change Lane Right,Right,17:09:44,7
Vehicle,Change Lane Left,Middle,17:10:12,7
Vehicle,Change Lane Right,Right,17:10:56,7
Vehicle,Change Lane Left,Left,17:13:24,7
Vehicle,Change Lane Left,Left,17:13:34,7
Vehicle,Change Lane Right,Right,17:14:28,7
Vehicle,Change Lane Left,Left,17:14:37,7
Vehicle,Change Lane Right,Right,17:15:30,7
Vehicle,Change Lane Left,Left,17:17:08,7
Vehicle,Change Lane Right,Middle,17:17:53,7
Vehicle,Change Lane Left,Left,17:18:17,7
Vehicle,Change Lane Left,Middle,17:19:12,7
Vehicle,Change Lane Left,Left,17:20:12,7
Vehicle,Change Lane Right,Middle,17:28:35,7
Vehicle,Change Lane Left,Left,17:28:52,7
Vehicle,Change Lane Right,Middle,17:30:05,7
Vehicle,Change Lane Left,Left,17:30:18,7
Vehicle,Change Lane Right,Middle,17:32:29,7
Vehicle,Change Lane Left,Left,17:32:42,7
Vehicle,Change Lane Right,Middle,17:33:10,7
Vehicle,Change Lane Left,Left,17:34:48,7
Vehicle,Change Lane Right,Middle,17:36:50,7
Vehicle,Change Lane Left,Left,17:37:06,7
Vehicle,Change Lane Right,Middle,17:38:20,7
Vehicle,Change Lane Right,Right,17:38:30,7
