Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Passenger,Change Lane Right,Right,04:12:01,3
Passenger,Stop,Right,04:12:07,3
Passenger,Unload,Right,04:12:07,3
Passenger,Go,Right,04:13:46,3
Vehicle,Change Lane Left,Left,04:14:46,3
Vehicle,Change Lane Right,Middle,04:15:03,3
Vehicle,Change Lane Left,Left,04:16:00,3
Vehicle,Change Lane Right,Middle,04:16:10,3
Vehicle,Change Lane Left,Left,04:16:35,3
Vehicle,Change Lane Right,Middle,04:16:47,3
Vehicle,Change Lane Right,Right,04:17:22,3
Stoplight,Stop,Right,04:17:27,3
Stoplight,Go,Right,04:17:33,3
Passenger,Change Lane Right,Right,04:21:07,3
Passenger,Stop,Right,04:21:12,3
Passenger,Unload,Right,04:21:12,3
Passenger,Go,Right,04:22:41,3
Vehicle,Change Lane Left,Middle,04:22:41,3
Vehicle,Change Lane Left,Left,04:22:58,3
Stoplight,Stop,Left,04:23:15,3
Stoplight,Go,Left,04:24:32,3
Passenger,Change Lane Right,Right,04:25:01,3
Passenger,Stop,Right,04:25:16,3
Passenger,Unload,Right,04:25:16,3
Vehicle,Change Lane Left,Left,03:44:06,4
Vehicle,Change Lane Right,Right,03:44:11,4
Vehicle,Change Lane Left,Left,03:44:55,4
Vehicle,Change Lane Right,Right,03:45:35,4
Vehicle,Change Lane Left,Left,03:45:57,4
Vehicle,Change Lane Right,Right,03:46:41,4
Vehicle,Change Lane Left,Left,03:47:14,4
Vehicle,Change Lane Right,Right,03:47:31,4
Vehicle,Change Lane Left,Left,03:47:55,4
Vehicle,Change Lane Right,Right,03:48:10,4
Vehicle,Change Lane Left,Left,03:48:27,4
Vehicle,Change Lane Right,Right,03:49:20,4
Vehicle,Change Lane Left,Left,03:49:30,4
Passenger,Stop,Left,03:53:00,4
Passenger,Go,Left,04:01:02,4
Vehicle,Change Lane Right,Right,04:01:38,4
Vehicle,Change Lane Left,Left,04:01:48,4
Vehicle,Change Lane Right,Right,04:02:00,4
Vehicle,Change Lane Left,Left,04:02:14,4
Vehicle,Change Lane Right,Right,04:02:31,4
Vehicle,Change Lane Right,Left,04:02:41,4
Vehicle,Change Lane Right,Middle,04:10:36,4
Vehicle,Change Lane Left,Left,04:10:54,4
Vehicle,Change Lane Right,Middle,04:12:12,4
Vehicle,Change Lane Left,Left,04:12:50,4
Vehicle,Change Lane Right,Middle,04:13:23,4
Vehicle,Change Lane Right,Right,04:13:31,4
Vehicle,Change Lane Left,Middle,04:19:37,4
Vehicle,Change Lane Right,Right,04:19:51,4
Vehicle,Change Lane Left,Left,04:19:58,4
Vehicle,Change Lane Right,Right,04:21:38,4
Vehicle,Change Lane Left,Left,04:21:45,4
Vehicle,Change Lane Right,Middle,04:21:53,4
Vehicle,Change Lane Right,Right,04:22:54,4
Passenger,Stop,Right,04:22:56,4
Passenger,Unload,Right,04:22:56,4
Passenger,Go,Right,04:23:34,4
Vehicle,Change Lane Left,Middle,04:23:44,4
Vehicle,Change Lane Left,Left,04:23:55,4
Vehicle,Change Lane Right,Middle,04:24:10,4
Vehicle,Change Lane Left,Left,04:24:46,4
Vehicle,Change Lane Right,Middle,04:25:07,4
Vehicle,Change Lane Left,Left,04:25:13,4
Vehicle,Change Lane Right,Middle,04:25:08,4
Vehicle,Change Lane Right,Right,04:25:19,4
Vehicle,Change Lane Left,Left,04:25:35,4
Vehicle,Change Lane Right,Middle,04:25:43,4
Vehicle,Change Lane Left,Left,04:25:52,4
Vehicle,Change Lane Right,Right,04:26:03,4
Vehicle,Change Lane Left,Middle,04:26:22,4
Vehicle,Change Lane Right,Right,04:27:57,4
Passenger,Stop,Right,04:28:07,4
Passenger,Unload,Right,04:28:07,4
Passenger,Go,Right,04:28:42,4
Vehicle,Change Lane Left,Left,04:28:54,4
Vehicle,Change Lane Right,Right,04:29:12,4
Vehicle,Change Lane Left,Left,04:29:28,4
Vehicle,Change Lane Right,Right,04:29:40,4
Vehicle,Change Lane Left,Left,04:29:58,4
Vehicle,Change Lane Right,Right,04:30:05,4
Vehicle,Change Lane Left,Left,04:30:52,4
Vehicle,Change Lane Right,Middle,04:31:50,4
Vehicle,Change Lane Right,Right,04:33:32,4
Passenger,Stop,Right,04:34:22,4
Passenger,Unload,Right,04:34:22,4
Passenger,Go,Left,04:37:05,4
Vehicle,Change Lane Left,Left,04:40:21,4
Passenger,Stop,Right,04:40:35,4
Passenger,Unload,Right,04:40:35,4
Passenger,Go,Right,04:42:07,4
Vehicle,Go,Left,06:34:16,5
Vehicle,Change Lane Right,Right,06:35:23,5
Vehicle,Change Lane Left,Left,06:35:48,5
Vehicle,Change Lane Right,Right,06:36:10,5
Vehicle,Change Lane Right,Right,06:36:43,5
Vehicle,Change Lane Left,Left,06:37:22,5
Vehicle,Change Lane Right,Right,06:37:47,5
Vehicle,Change Lane Left,Left,06:37:55,5
Vehicle,Change Lane Right,Right,06:38:39,5
Vehicle,Change Lane Left,Left,06:39:49,5
Vehicle,Change Lane Right,Right,06:40:05,5
Vehicle,Change Lane Left,Left,06:40:17,5
Vehicle,Change Lane Right,Right,06:41:31,5
Vehicle,Change Lane Left,Left,06:42:09,5
Vehicle,Change Lane Right,Middle,06:43:12,5
Vehicle,Change Lane Left,Left,06:43:27,5
Vehicle,Change Lane Right,Middle,06:44:45,5
Vehicle,Change Lane Left,Left,06:45:21,5
Vehicle,Change Lane Right,Right,06:49:14,5
Vehicle,Change Lane Left,Middle,06:50:55,5
Vehicle,Change Lane Left,Left,06:51:25,5
Vehicle,Change Lane Right,Middle,06:53:40,5
Vehicle,Change Lane Left,Left,06:54:56,5
Vehicle,Change Lane Right,Middle,06:55:05,5
Vehicle,Change Lane Right,Right,06:55:35,5
Vehicle,Change Lane Right,Right,06:55:49,5
Vehicle,Change Lane Left,Middle,06:59:04,5
Vehicle,Change Lane Left,Left,06:59:19,5
Vehicle,Change Lane Right,Middle,07:00:06,5
Vehicle,Change Lane Right,Right,07:00:17,5
Vehicle,Change Lane Left,Middle,07:00:21,5
Vehicle,Change Lane Left,Left,07:00:25,5
Vehicle,Change Lane Right,Middle,07:01:58,5
Vehicle,Change Lane Right,Right,07:02:10,5
Vehicle,Change Lane Left,Middle,07:19:16,5
Vehicle,Change Lane Left,Left,07:21:19,5
Vehicle,Change Lane Right,Right,07:21:43,5
Vehicle,Change Lane Left,Left,07:22:05,5
Vehicle,Change Lane Right,Right,07:22:58,5
Vehicle,Change Lane Left,Left,07:23:15,5
Vehicle,Change Lane Right,Middle,07:23:30,5
Vehicle,Change Lane Right,Right,07:24:01,5
Vehicle,Change Lane Left,Middle,07:24:15,5
Vehicle,Change Lane Left,Middle,07:24:31,5
Vehicle,Change Lane Left,Left,07:24:52,5
Vehicle,Change Lane Right,Middle,07:26:20,5
Vehicle,Change Lane Left,Left,07:26:24,5
Vehicle,Change Lane Right,Middle,07:26:59,5
Vehicle,Change Lane Left,Left,07:27:34,5
Vehicle,Change Lane Right,Middle,07:28:03,5
Vehicle,Change Lane Left,Left,07:28:13,5
Vehicle,Change Lane Right,Middle,07:29:05,5
Vehicle,Change Lane Left,Left,07:29:36,5
Vehicle,Change Lane Right,Right,07:30:07,5
Vehicle,Change Lane Left,Middle,07:30:39,5
Vehicle,Change Lane Left,Left,07:30:51,5
Vehicle,Change Lane Right,Middle,07:31:02,5
Vehicle,Change Lane Left,Left,07:31:13,5
Vehicle,Change Lane Right,Middle,07:32:18,5
Vehicle,Change Lane Left,Left,07:32:36,5
Vehicle,Change Lane Right,Middle,07:32:43,5
Vehicle,Change Lane Right,Right,07:32:45,5
Vehicle,Change Lane Right,Left,07:33:33,5
Vehicle,Change Lane Right,Right,07:34:14,5
Vehicle,Change Lane Left,Left,07:37:52,5
Vehicle,Change Lane Right,Right,07:39:41,5
Vehicle,Change Lane Right,Left,07:42:15,5
Vehicle,Change Lane Right,Right,07:43:11,5
Vehicle,Change Lane Left,Left,07:43:15,5
Vehicle,Change Lane Right,Right,07:43:43,5
Vehicle,Change Lane Left,Left,07:43:58,5
Vehicle,Change Lane Right,Right,07:45:13,5
Vehicle,Change Lane Left,Left,07:45:31,5
Vehicle,Change Lane Right,Right,07:45:39,5
Vehicle,Change Lane Left,Left,07:51:40,5
Vehicle,Change Lane Right,Right,07:51:49,5
Vehicle,Change Lane Left,Left,08:03:41,5
Vehicle,Change Lane Right,Right,08:04:18,5
Vehicle,Change Lane Left,Left,08:04:26,5
Vehicle,Change Lane Right,Right,08:06:51,5
Vehicle,Change Lane Left,Left,08:08:04,5
Vehicle,Change Lane Left,Left,08:09:06,5
Vehicle,Change Lane Right,Middle,08:09:48,5
Vehicle,Change Lane Right,Right,08:09:57,5
Vehicle,Change Lane Left,Left,08:10:26,5
Vehicle,Change Lane Right,Middle,08:10:39,5
Vehicle,Change Lane Left,Left,08:10:44,5
Vehicle,Change Lane Right,Middle,08:10:53,5
Vehicle,Change Lane Right,Right,08:11:05,5
Vehicle,Change Lane Left,Left,08:12:36,5
Vehicle,Change Lane Right,Right,08:15:00,5
Passenger,Stop,Right,08:18:27,5
Passenger,Go,Right,08:18:41,5
Vehicle,Change Lane Left,Left,08:18:50,5
